"variable" "area"
"CynCris" "G10_16"
"DacGlom" "G10_16"
"FesPrat" "G10_16"
"FraViri" "G10_16"
"GalAlbu" "G10_16"
"GalVeru" "G10_16"
"GleHede" "G10_16"
"HerSpho" "G10_16"
"HolLana" "G10_16"
"LeuIrcu" "G10_16"
"LisOvat" "G10_16"
"LuzCamp" "G10_16"
"MedLupu" "G10_16"
"PlaLanc" "G10_16"
"PlaMedi" "G10_16"
"PriVeri" "G10_16"
"QueRobu" "G10_16"
"RanAcri" "G10_16"
"RanBulb" "G10_16"
"RhiMino" "G10_16"
"RumAcet" "G10_16"
"SanMino" "G10_16"
"TarRude" "G10_16"
"TriDubi" "G10_16"
"TriFlav" "G10_16"
"VerCham" "G10_16"
"VicCrac" "G10_16"
"AchMill" "G15_16"
"AntDioi" "G15_16"
"AntVuln" "G15_16"
"BriMedi" "G15_16"
"BroErec" "G15_16"
"CarFlac" "G15_16"
"CirAcau" "G15_16"
"CraSpec" "G15_16"
"EupCypa" "G15_16"
"FesOvin" "G15_16"
"FraViri" "G15_16"
"GalPumi" "G15_16"
"HelPube" "G15_16"
"HipComo" "G15_16"
"JunComm" "G15_16"
"KoePyra" "G15_16"
"LeoHisp" "G15_16"
"LeuIrcu" "G15_16"
"LinCath" "G15_16"
"LisOvat" "G15_16"
"LotCorn" "G15_16"
"LuzCamp" "G15_16"
"MedLupu" "G15_16"
"OnoRepe" "G15_16"
"PilOffi" "G15_16"
"PimSaxi" "G15_16"
"PlaLanc" "G15_16"
"PlaMedi" "G15_16"
"PolComo" "G15_16"
"PotVern" "G15_16"
"PruAviu" "G15_16"
"QueSpec" "G15_16"
"RanBulb" "G15_16"
"RosSpec" "G15_16"
"SanMino" "G15_16"
"SenJaco" "G15_16"
"TarRude" "G15_16"
"ThyPule" "G15_16"
"TriPrat" "G15_16"
"ArrElat" "G2_16"
"BriMedi" "G2_16"
"BroErec" "G2_16"
"CamGlom" "G2_16"
"CarCary" "G2_16"
"CarFlac" "G2_16"
"CirAcau" "G2_16"
"DacGlom" "G2_16"
"FesOvin" "G2_16"
"FesRubr" "G2_16"
"GalAlbu" "G2_16"
"GenTinc" "G2_16"
"HolLana" "G2_16"
"KnaArve" "G2_16"
"LatPrat" "G2_16"
"LotCorn" "G2_16"
"LuzCamp" "G2_16"
"MedLupu" "G2_16"
"OnoRepe" "G2_16"
"PilOffi" "G2_16"
"PimSaxi" "G2_16"
"PlaLanc" "G2_16"
"PoaPrat" "G2_16"
"PriVeri" "G2_16"
"RanBulb" "G2_16"
"RumAcet" "G2_16"
"SenJaco" "G2_16"
"TriFlav" "G2_16"
"VicAngu" "G2_16"
"AgrEupa" "G22_16"
"ArrElat" "G22_16"
"BriMedi" "G22_16"
"BroErec" "G22_16"
"CarCary" "G22_16"
"CarFlac" "G22_16"
"CenJace" "G22_16"
"CenScab" "G22_16"
"CirAcau" "G22_16"
"CorSang" "G22_16"
"CraSpec" "G22_16"
"DacGlom" "G22_16"
"FesRubr" "G22_16"
"FraViri" "G22_16"
"GalAlbu" "G22_16"
"GymCono" "G22_16"
"HipComo" "G22_16"
"HolLana" "G22_16"
"KnaArve" "G22_16"
"LeuIrcu" "G22_16"
"LinCath" "G22_16"
"LotCorn" "G22_16"
"MedLupu" "G22_16"
"OnoRepe" "G22_16"
"PilOffi" "G22_16"
"PimSaxi" "G22_16"
"PlaLanc" "G22_16"
"PoaAngu" "G22_16"
"PoaPrat" "G22_16"
"PolComo" "G22_16"
"PriVeri" "G22_16"
"PruGran" "G22_16"
"PruAviu" "G22_16"
"PruSpin" "G22_16"
"QueSpec" "G22_16"
"RanBulb" "G22_16"
"RubIdae" "G22_16"
"SanMino" "G22_16"
"TarRude" "G22_16"
"ThyPule" "G22_16"
"TriFlav" "G22_16"
"VerTeuc" "G22_16"
"VicAngu" "G22_16"
"VioHirt" "G22_16"
"AchMill" "G26_16"
"AgrEupa" "G26_16"
"AntVuln" "G26_16"
"AstGlyc" "G26_16"
"BriMedi" "G26_16"
"BroErec" "G26_16"
"CarCary" "G26_16"
"CarFlac" "G26_16"
"CenScab" "G26_16"
"CirAcau" "G26_16"
"CraLaev" "G26_16"
"DauCaro" "G26_16"
"FraViri" "G26_16"
"GalAlbu" "G26_16"
"GenTinc" "G26_16"
"HieMuro" "G26_16"
"HipComo" "G26_16"
"HypPerf" "G26_16"
"KnaArve" "G26_16"
"LeoHisp" "G26_16"
"LeuIrcu" "G26_16"
"LotCorn" "G26_16"
"LuzCamp" "G26_16"
"MedLupu" "G26_16"
"PilOffi" "G26_16"
"PimSaxi" "G26_16"
"PlaLanc" "G26_16"
"PoaPrat" "G26_16"
"PolComo" "G26_16"
"PotVern" "G26_16"
"PriVeri" "G26_16"
"PruAviu" "G26_16"
"PruSpin" "G26_16"
"RanBulb" "G26_16"
"RosSpec" "G26_16"
"SalPrat" "G26_16"
"SanMino" "G26_16"
"ScaColu" "G26_16"
"SenJaco" "G26_16"
"TriPrat" "G26_16"
"VerCham" "G26_16"
"VicAngu" "G26_16"
"VioHirt" "G26_16"
"AchMill" "G27_16"
"BetPend" "G27_16"
"BriMedi" "G27_16"
"BroErec" "G27_16"
"CarCary" "G27_16"
"CarFlac" "G27_16"
"CarBetu" "G27_16"
"CenEryt" "G27_16"
"CirAcau" "G27_16"
"CraLaev" "G27_16"
"FesOvin" "G27_16"
"GalVeru" "G27_16"
"GenTinc" "G27_16"
"GymCono" "G27_16"
"HieMuro" "G27_16"
"HipComo" "G27_16"
"HypPerf" "G27_16"
"KnaArve" "G27_16"
"LeuIrcu" "G27_16"
"LinCath" "G27_16"
"LotCorn" "G27_16"
"MedLupu" "G27_16"
"OnoVici" "G27_16"
"OphInse" "G27_16"
"OrcMasc" "G27_16"
"PilOffi" "G27_16"
"PimSaxi" "G27_16"
"PinSpec" "G27_16"
"PlaLanc" "G27_16"
"PlaMedi" "G27_16"
"PoaPrat" "G27_16"
"PotVern" "G27_16"
"PriVeri" "G27_16"
"PruAviu" "G27_16"
"PruSpin" "G27_16"
"QueRobu" "G27_16"
"RanBulb" "G27_16"
"RhiMino" "G27_16"
"SalPrat" "G27_16"
"SanMino" "G27_16"
"SenJaco" "G27_16"
"SilNuta" "G27_16"
"TriPrat" "G27_16"
"TriFlav" "G27_16"
"VerTeuc" "G27_16"
"VioHirt" "G27_16"
"AchMill" "G30_16"
"AgrEupa" "G30_16"
"AreSerp" "G30_16"
"ArrElat" "G30_16"
"BroErec" "G30_16"
"CarCary" "G30_16"
"CenJace" "G30_16"
"CraLaev" "G30_16"
"DacGlom" "G30_16"
"DauCaro" "G30_16"
"EupCypa" "G30_16"
"FesOvin" "G30_16"
"FraViri" "G30_16"
"GalVeru" "G30_16"
"GleHede" "G30_16"
"HipComo" "G30_16"
"HypPerf" "G30_16"
"KnaArve" "G30_16"
"KoePyra" "G30_16"
"LeuIrcu" "G30_16"
"LuzCamp" "G30_16"
"MedFalc" "G30_16"
"MedLupu" "G30_16"
"PimSaxi" "G30_16"
"PlaLanc" "G30_16"
"PoaAngu" "G30_16"
"PolComo" "G30_16"
"PotVern" "G30_16"
"PriVeri" "G30_16"
"PruSpin" "G30_16"
"RanBulb" "G30_16"
"RosCani" "G30_16"
"RumAcet" "G30_16"
"SanMino" "G30_16"
"SedSexa" "G30_16"
"SenJaco" "G30_16"
"SilNuta" "G30_16"
"ThlPerf" "G30_16"
"ThyPule" "G30_16"
"TriCamp" "G30_16"
"TriDubi" "G30_16"
"TriFlav" "G30_16"
"ValLocu" "G30_16"
"VerArve" "G30_16"
"VerTeuc" "G30_16"
"VicAngu" "G30_16"
"VioHirt" "G30_16"
"BriMedi" "G31_16"
"BroErec" "G31_16"
"CarFlac" "G31_16"
"CenJace" "G31_16"
"CirAcau" "G31_16"
"CorSang" "G31_16"
"CraSpec" "G31_16"
"DauCaro" "G31_16"
"EupCypa" "G31_16"
"FesPrat" "G31_16"
"FraViri" "G31_16"
"GalAlbu" "G31_16"
"GenTinc" "G31_16"
"HipComo" "G31_16"
"HypPerf" "G31_16"
"KnaArve" "G31_16"
"LeuIrcu" "G31_16"
"PlaLanc" "G31_16"
"PlaMedi" "G31_16"
"PoaPrat" "G31_16"
"PolComo" "G31_16"
"PotAnse" "G31_16"
"PruAviu" "G31_16"
"PruSpin" "G31_16"
"RanBulb" "G31_16"
"SalPrat" "G31_16"
"SanMino" "G31_16"
"ScaColu" "G31_16"
"TriFlav" "G31_16"
"VerCham" "G31_16"
"VicAngu" "G31_16"
"AntOdor" "G32_16"
"ArrElat" "G32_16"
"BroErec" "G32_16"
"CerGlom" "G32_16"
"CerHolo" "G32_16"
"ConArve" "G32_16"
"CorSang" "G32_16"
"CraLaev" "G32_16"
"DacGlom" "G32_16"
"DauCaro" "G32_16"
"FesPrat" "G32_16"
"FesRubr" "G32_16"
"GalAlbu" "G32_16"
"KnaArve" "G32_16"
"LeuIrcu" "G32_16"
"LolPere" "G32_16"
"LotCorn" "G32_16"
"MedLupu" "G32_16"
"PimSaxi" "G32_16"
"PlaLanc" "G32_16"
"PoaAngu" "G32_16"
"PoaPrat" "G32_16"
"PriVeri" "G32_16"
"PruAviu" "G32_16"
"QueRobu" "G32_16"
"RanBulb" "G32_16"
"RhiMino" "G32_16"
"RosSpec" "G32_16"
"RumAcet" "G32_16"
"SalPrat" "G32_16"
"SanMino" "G32_16"
"SilNuta" "G32_16"
"TarRude" "G32_16"
"TriDubi" "G32_16"
"TriPrat" "G32_16"
"TriFlav" "G32_16"
"VerArve" "G32_16"
"VicAngu" "G32_16"
"VioHirt" "G32_16"
"AchMill" "G9_16"
"AjuGene" "G9_16"
"ArrElat" "G9_16"
"BriMedi" "G9_16"
"BroErec" "G9_16"
"CarCary" "G9_16"
"CarFlac" "G9_16"
"CenJace" "G9_16"
"CenScab" "G9_16"
"CerHolo" "G9_16"
"CirAcau" "G9_16"
"ConArve" "G9_16"
"CreBien" "G9_16"
"DacGlom" "G9_16"
"EupSpec" "G9_16"
"FesOvin" "G9_16"
"FesRubr" "G9_16"
"GalAlbu" "G9_16"
"HelNumm" "G9_16"
"HelPube" "G9_16"
"HerSpho" "G9_16"
"HolLana" "G9_16"
"HypMacu" "G9_16"
"KnaArve" "G9_16"
"LatPrat" "G9_16"
"LeoHisp" "G9_16"
"LolPere" "G9_16"
"LotCorn" "G9_16"
"LysNumm" "G9_16"
"MedLupu" "G9_16"
"OnoRepe" "G9_16"
"PlaLanc" "G9_16"
"PlaMedi" "G9_16"
"PoaPrat" "G9_16"
"PriVeri" "G9_16"
"PruAviu" "G9_16"
"RanBulb" "G9_16"
"RhiMino" "G9_16"
"RumObtu" "G9_16"
"SanMino" "G9_16"
"ScaColu" "G9_16"
"TarRude" "G9_16"
"TraPrat" "G9_16"
"TriPrat" "G9_16"
"TriFlav" "G9_16"
"VibOpul" "G9_16"
"VicCrac" "G9_16"
"VicSepi" "G9_16"
"VioHirt" "G9_16"
